10161,"Computers & Accessories"
10162,"Sports & Outdoors"
10163,"Automotive"
10164,"Home & Kitchen"
10165,"Office Products"
10166,"Clothing & Accessories"
10167,"Tools & Home Improvement"
10168,"Electronics"
10169,"Jewelry"
10170,"Health & Personal Care"
10171,"Grocery & Gourmet Food"
10172,"Toys & Games"
10173,"Arts, Crafts & Sewing"
10174,"Baby Products"
10175,"Musical Instruments"
10176,"Patio, Lawn & Garden"
10177,"Pet Supplies"
10178,"Industrial & Scientific"
10179,"Shoes"
10180,"Furniture"
10181,"Video Games"
10182,"Software"
15997,"Computer Components"
15998,"Internal Optical Drives"
15999,"Internal Cd Drives"
16000,"Fan Shop"
16001,"Clothing & Accessories"
16002,"Sweatshirts"
16003,"Kids"
16004,"Boys"
16005,"Motorcycle & Powersports"
16006,"Protective Gear"
16007,"Footwear"
16008,"Boots"
16009,"Cycling"
16010,"Kids Bikes & Accessories"
16011,"Seasonal Décor"
16012,"Ornaments"
16013,"Bells & Sleigh Bells"
16014,"Replacement Parts"
16015,"Shocks Struts & Suspension"
16016,"Sway Bars & Parts"
16017,"Link Kits"
16018,"Education & Crafts"
16019,"Arts & Crafts Supplies"
16020,"Foam Boards"
16021,"Women"
16022,"Swimsuits & Cover Ups"
16024,"Maternity"
16023,"Tankinis"
16025,"Dresses"
16026,"Wear To Work"
16027,"Building Supplies"
16028,"Building Materials"
16029,"Tiles"
16030,"Ceramic Tiles"
16031,"Power & Hand Tools"
16032,"Hand Tools"
16033,"Masonry Tools"
16034,"Novelty & Special Use"
16035,"Sports Clothing"
16036,"Rugby"
16037,"Men"
16039,"Kitchen Utensils & Gadgets"
16040,"Specialty Tools & Gadgets"
16041,"Ice Pop Molds"
16042,"Lighting & Electrical"
16043,"Lighting"
16044,"Lighting Assemblies"
16045,"Replacement Headlight Assemblies"
16046,"Nursing"
16047,"Tops & Tees"
16048,"Knits & Tees"
16049,"Food Service Equipment & Supplies"
16050,"Disposables"
16051,"Napkins"
16052,"Motorcycle & Atv"
16053,"Accessories"
16054,"Plows"
16055,"Hardware"
16056,"Door Hardware & Locks"
16057,"Door Closers"
16058,"Accessories & Supplies"
16059,"Home Audio Accessories"
16060,"Media Storage"
16061,"Women"
16062,"Fashion"
16063,"Necklaces"
16064,"Lighting & Ceiling Fans"
16065,"Ceiling Fans & Accessories"
16066,"Accessories"
16067,"Vitamins & Dietary Supplements"
16068,"Minerals"
16069,"Labels Indexes & Stamps"
16070,"Tags & Tickets"
16071,"Tickets"
16072,"Home Décor"
16073,"Decorative Pillows"
16074,"Pillows"
16075,"Team Sports"
16076,"Cricket"
16077,"Bats"
16078,"Car & Vehicle Electronics"
16079,"Car Electronics"
16080,"Installation Accessories & Harnesses"
16081,"Mp3 Player Cables & Adapters"
16082,"Car Chargers"
16083,"Cell Phones & Accessories"
16084,"Unlocked Cell Phones"
16085,"Novelty & More"
16086,"Charms"
16087,"Home Brewing & Winemaking"
16088,"Beer Brewing Ingredients"
16089,"Hops"
16090,"Outdoor Gear"
16091,"Skiing"
16092,"Lacrosse"
16093,"Protective Gear"
16094,"Arm Guards"
16095,"Gift Wrapping Supplies"
16096,"Gift Wrap Paper"
16097,"Boys"
16098,"Outerwear & Coats"
16099,"Down & Parkas"
16100,"Health Care"
16101,"Stimulants"
16102,"Player Equipment"
16103,"Shafts"
16104,"Attacker Shafts"
16105,"Martial Arts"
16106,"Men"
16107,"Dress Up & Pretend Play"
16108,"Beauty & Fashion"
16109,"Rings"
16110,"Paint Body & Trim"
16111,"Trim"
16112,"Pinstriping Tape"
16113,"Swim"
16114,"Rash Guards"
16115,"Rings"
16116,"Stacking"
16117,"Necklaces"
16118,"Y-necklaces"
16119,"Snack Foods"
16120,"Salsas Dips & Spreads"
16121,"Jeans"
16122,"Craft Supplies"
16123,"Paper & Paper Crafts"
16124,"Paper"
16125,"Decorative Paper"
16126,"Engines & Engine Parts"
16127,"Engine Parts"
16128,"Connecting Rods & Parts"
16129,"Bearings"
16130,"Cables & Accessories"
16131,"Printer Ink & Toner"
16132,"Impact & Dot Matrix Printer Ribbons"
16133,"Exercise & Fitness"
16134,"Cardio Training"
16135,"Vibration Platform Machines"
16136,"Sexual Wellness"
16137,"Adult Toys & Games"
16138,"Sex Toys"
16139,"Pumps & Enlargers"
16140,"Laptop & Netbook Computer Accessories"
16141,"Docking Stations"
16142,"Makeup"
16143,"Lips"
16144,"Lipstick"
16145,"Hunting & Fishing"
16146,"Hunting"
16147,"Hunting Accessories"
16148,"Game Feeders"
16149,"Novelty Jewelry"
16151,"Clocks"
16152,"Desk & Shelf Clocks"
16153,"Feeding"
16154,"Food Mills & Storage"
16150,"Brooches & Pins"
16156,"Amplifier Installation"
16157,"Fuses"
16158,"Softball"
16159,"Protective Gear"
16160,"Pendants"
16161,"Audio & Video Accessories"
16162,"Antennas"
16164,"Stone Tiles"
16165,"Camera & Photo"
16166,"Lenses"
16167,"Paintball & Airsoft"
16168,"Paintball"
16169,"Loaders & Accessories"
16170,"Tubes & Pods"
16171,"Bedding"
16172,"Kids Bedding"
